location_name,lat,long,count,location_name_english
ধানমন্ডি,23.745763,90.36968610363476,668,Dhanmondi
রাজারবাগ,23.7411928,90.41655394982179,633,Rajarbagh
সচিবালয়,23.7289,90.4087,515,Secretariat
নয়াপল্টন,23.7345,90.4137,382,Nayapalton
সিদ্ধেশ্বরী,23.7435526,90.4112118,325,Siddheshwari
কাকরাইল,23.7428853,90.41303640000001,229,Kakrail
মগবাজার,23.7475473,90.4124357,229,Magbazar
কলাবাগান,23.8821893,90.26071222498597,184,Kalabagan
পল্টন,23.7306354,90.41175559999999,171,Paltan
লালবাগ,23.7252728,90.378159,166,Lalbagh
আজিমপুর,23.72951605,90.3822422204967,161,Azimpur
মতিঝিল,23.726597299999998,90.42160759999999,160,Motijheel
কমলাপুর,23.729867600000002,90.426177,156,Kamalapur
রমনা,23.7378634,90.40150198695824,149,Ramna
যাত্রাবাড়ী,23.70960805,90.43409421800995,143,Jatrabari
মালিবাগ,23.7451861,90.4149847,142,Malibagh
খিলগাঁও,23.744369600000002,90.4278415,142,Khilgaon
শান্তিনগর,23.7403298,90.4135667,135,Shantinagar
আরামবাগ,23.7320956,90.4199327,127,Arambagh
হাজারীবাগ,23.736354300000002,90.36796240000001,122,Hazaribagh
বঙ্গভবন,23.723352,90.4180454,104,Bangabhaban
ইস্কাটন,23.7451087,90.3995137,100,Eskaton
জুরাইন,23.69427585,90.43468736169405,78,Jurine
বিজয় নগর,23.7646087,90.3866179,67,Vijay Nagar
বাসাবো,23.7408932,90.4310323,61,Basabo.
ফকিরাপুল,23.732550500000002,90.41676140000001,56,Fakirapool
ঢাকেশ্বরী,23.722744,90.39029584924921,51,Thakeswari
গেন্ডারিয়া,23.7025,90.4261,42,Gendaria
হাতিরপুল,23.742665300000002,90.3920197,41,Hatirpul
নবাবগঞ্জ,23.6605756,90.1878557,41,Nawabganj
জিগাতলা,23.7413,90.3731,40,Jigatla
পলাশী,23.7238597,90.38879990000001,40,Palashi
কাঁঠালবাগান,23.8893172,90.2607103,37,Kanthalbagan
ফুলবাড়ীয়া,24.188864,90.30901193954813,36,Fulbaria
বংশাল,23.7174635,90.4069097,35,Bansal
ভাগলপুর,23.7249,90.3754,33,Bhagalpur
শাহজাহানপুর,23.740740600000002,90.4240134,32,Shahjahanpur
সোবহানবাগ,23.75419175,90.37631318433348,30,Sobahanaag
মুরাদপুর,22.6187081,91.65866390000001,29,Muradpur
শুক্রাবাদ,23.7535,90.3792,28,Shukrabad
হাটখোলা,23.719341,90.4203604,27,Hatkhola
পুরানা পল্টন,23.73046785,90.4123524014352,24,Purana Paltan
এলিফ্যান্ট রোড,23.7387456,90.3835423,22,Elephant Road
মুগদাপাড়া,23.7269507,90.44627709999999,22,Mugdapara
স্বামীবাগ,23.7158,90.4237,22,Swami Bagh
রায়ের বাজার,23.7435,90.3619,20,Rayer Bazar
সবুজবাগ,23.74056605,90.42840345,20,Sabujbag
নীলক্ষেত,23.73155935,90.38778163023277,19,Nilkhet
কদমতলা,22.89822055,91.53820491979471,18,Kadamtala
গোড়ান,23.749813500000002,90.43278959999999,15,Goran
তোপখানা রোড,23.7300652,90.4076031,12,Topkhana Road
দিলকুশা,23.7277853,90.4157776,12,Dilkusha
বেইলী রোড,23.741307,90.403885,10,Bailey Road
হাটখোলা রোড,23.7182529,90.4207179,9,Hatkhola Road
গণকটুলী,,,8,Ganaktuli
গ্রীন রোড,23.7437581,90.38459209999999,7,Green Road
পরিবাগ,23.7426031,90.3942147,7,Paribag
ধলপুর,23.714951100000004,90.43099079999999,7,Dhalpur
সাইন্স ল্যাব,23.7811,90.3709,6,Science Lab
সেগুন বাগিচা,23.73245,90.406409,5,Segun Bagicha
বাবুপুরা,,,4,Babupura
সুলতানগঞ্জ,23.7175,90.3637,4,Sultanganj
শাখারী বাজার,23.7114,90.4096,4,Shakhari Bazar
জয়কালী মন্দির,23.7215,90.4167,4,Jayakali Temple
শহীদ বাগ,23.7426,90.4202,3,Shahid Bagh
হাতেমবাগ,23.7435,90.3679,2,Hatembagh
বকসী বাজার,23.7219,90.3954,2,Bakshi Bazar
রেলওয়ে কলোনী,23.7626,90.395,1,Railway Colony
আমিনবাগ,23.741809250000006,90.41277294116955,1,Aminbag
বড় কাটারা,23.7146,90.3953,1,Boro Katara
ছোট কাটারা,23.713,90.3962,1,Choto Katara
